,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,1-Nov,2-Nov
Kansas,4,5,7,7,10,17,22,35,48,56,62,80,96,123,165,198,256,313,360,419,472,539,603,677,725,820,881,1008,1064,1116,1213,1153,1186,1117,1178,1283,1381,1464,1317,1446,1598,1703,1867,2334,2512,2551,2671,2947,2936,3367,3597,3590,3849,4191,4490,4154,4492,4824,4975,5104,5288,5381,5462,5657,5216,5245,5279,5538,5538,5501,5614,5847,4921,5060,5197,5093,5179,5215,5282,5169,5231,5386,5313,5434,5233,5422,5461,5025,5236,4931,4971,4881,4874,4752,4752,5097,4584,4662,4581,4850,4751,4672,4645,4571,4744,4721,4968,4718,4914,5267,5189,5416,5309,5909,5914,5831,6383,6263,6870,6767,7459,7400,7596,8640,8216,8954,8730,9633,9491,9588,10608,10370,10776,10501,11172,10952,10838,11429,11195,11494,11098,11689,11279,11114,11991,11709,12054,11626,12274,12060,11676,12086,12001,12146,12109,12709,12519,11926,12917,12571,13142,12462,12467,12724,12541,13692,13549,14664,14442,14967,15010,15046,15971,15888,16328,16411,17111,16934,16922,18116,17843,17865,17775,18052,18051,17954,14251,13922,14137,14163,14686,14718,14620,15367,15245,12760,12583,12916,13000,13000,13816,13883,13145,13710,13901,14635,14635,15052,13718,13662,13451,14428,14458,14232,15495,15159,16360,16360,16243,16225,16131,17576,15811,16487,16487,15595,17117,17190,18530,18329,20333,19228,21485,21595,21595,24629
Kentucky,10,14,16,20,20,25,34,33,44,60,99,119,153,194,245,297,391,375,414,521,609,690,746,831,623,663,801,994,1096,1331,1477,1599,1679,1833,1909,2043,2130,2312,1750,1836,1964,2135,2239,2534,2657,2826,2894,3116,3273,3440,3606,3606,3857,3966,3987,4093,3778,3848,3955,3955,4163,4121,4244,4327,4519,4737,4737,4960,5036,5033,5055,5132,5247,5247,5247,5619,5732,5833,6052,6234,6234,6574,6670,6883,7156,7412,7696,7696,7872,8098,8259,8309,8519,8783,8783,8976,9140,9290,9432,9692,9845,9965,10052,10292,10402,10640,10869,11182,11244,11150,11395,11530,11089,11367,11367,11367,12112,12421,12752,13053,13159,13553,13823,14066,14596,14963,15347,14599,15128,16121,16326,16931,17345,17911,18354,19174,19491,19969,20490,21073,21643,22418,22452,22921,23048,23673,24166,24625,25174,25812,26223,26434,26895,27989,28667,29227,29796,30186,30497,31030,31559,32202,32786,33541,34004,34335,34957,35528,36243,36494,37265,37720,38041,38789,39547,40365,41122,41893,42206,42467,42709,43304,44027,44937,45599,46137,46430,47109,47799,48340,49046,49967,50409,50744,51489,52167,52718,53525,54436,54897,55312,56234,57185,57944,58886,60097,60721,60945,61692,62564,63108,63797,64657,65501,66062,66436,64981,65971,67188,68330,69135,69692,70800,72099,73292,74630,76353,77812,78575,80164,81887,83567,85359,87266,88685,89662
Louisiana,19,36,76,100,133,196,273,382,523,569,818,1139,1345,1734,2227,2633,3185,3397,3849,5010,6166,8842,9932,12078,12515,14342,15693,16371,17577,18497,19209,19758,20136,20510,20854,21384,21915,22324,22644,23209,23464,23801,24157,9621,9951,10187,8096,8254,8585,8867,9514,9921,10103,10385,7645,7997,8210,8395,8918,9082,9276,7181,7761,8554,8872,9122,9426,5991,6303,6555,7725,8108,8202,8330,6521,6770,7182,7469,7448,8219,8560,5957,6332,6690,7121,7551,8019,8347,6403,6965,7381,7815,8340,9651,9985,7434,7956,8763,8885,8869,9982,10308,7704,9188,10052,10981,12297,12297,13777,12201,13245,14524,15916,17665,17665,19637,20756,22715,21321,23192,25872,28068,29405,31143,33400,28562,30871,33078,33078,36234,39465,41168,35771,38102,40205,40205,44091,46467,47589,36504,38211,40029,40029,43522,44631,46485,33088,34345,35788,35788,38392,38930,40071,26776,27873,29144,29144,30254,30803,31417,17534,18426,19277,19277,20444,21051,21569,12563,13219,13797,13797,15398,15706,16363,10787,11585,12395,12395,13736,14034,14278,9774,10218,10934,10934,12184,12660,13006,8366,8829,9779,9779,10689,10923,11664,8004,8565,9250,9250,10152,10377,10900,6765,7308,8099,8099,8960,9169,9695,6620,7139,7370,7370,8531,8577,9249,5634,6365,7119,7119,8239,8424,9117,6327,7090,7768,7768,8723,8933,9837,6919,7295,7717,7717,8781,9048
Maine,1,3,3,12,17,32,43,52,56,70,89,104,115,139,139,151,194,234,231,230,257,275,310,306,304,331,331,336,342,323,341,348,406,422,441,436,446,433,440,426,409,413,408,419,421,433,423,404,389,411,411,407,422,428,424,426,481,475,487,511,525,499,506,538,541,566,589,589,580,636,694,680,704,714,706,712,699,703,683,688,684,674,637,624,612,587,581,607,598,514,514,505,516,505,520,520,485,459,476,488,456,464,478,501,424,455,457,484,510,491,502,518,525,537,539,534,527,514,494,474,457,436,431,436,390,385,390,407,393,422,435,414,389,380,380,390,411,421,398,409,421,428,437,448,451,428,412,398,411,397,405,387,364,365,371,385,401,417,432,437,445,446,458,469,470,463,453,439,435,417,458,470,471,471,456,496,492,496,499,491,493,465,473,467,488,501,530,501,496,507,532,550,576,582,599,586,597,588,582,581,561,567,572,585,585,581,595,596,584,582,597,590,602,610,611,631,621,622,621,655,648,641,637,637,649,642,674,721,745,766,800,859,929,1004,1014,1063
Maryland,12,18,26,29,38,56,81,102,144,184,237,281,341,415,572,744,955,1197,1355,1589,1885,2214,2557,2913,3383,3770,3980,5117,5671,6400,7057,7534,8071,8567,9076,9656,10411,11074,11430,12185,12611,13096,13949,14710,15726,16494,17279,17834,18508,19339,20763,21705,22664,23574,24210,24823,25968,26884,27879,28902,29392,29911,30547,31581,32619,33205,34006,34933,36659,37394,38566,38974,39969,40753,41567,42071,42630,43880,44951,45857,46482,47011,47723,48371,49205,49909,50567,50984,51388,51814,52311,52957,53239,53843,54221,54518,54848,55377,55573,55833,56159,56467,56753,57118,57419,57774,58070,58358,58633,59100,59387,59712,60198,60715,61080,61360,61629,62094,62501,63027,63450,63967,64560,64972,65688,66437,67031,67726,68494,69410,69959,70763,71333,71993,72910,74187,74874,75995,76474,77215,78097,79164,80146,81046,81881,82584,83141,83664,84403,85105,86008,86757,87304,87816,88578,89258,90062,90569,91066,91577,91958,92520,93178,93791,94364,94928,95283,95708,96261,96804,97424,97915,98370,98126,98527,99195,99970,100712,101217,101967,102290,102602,103088,103710,104476,105047,105578,106142,106747,107347,107842,108494,108900,109307,109623,109999,110475,111011,111589,112005,112466,112856,113240,113993,114666,115210,115679,116173,116576,117026,117770,118465,119079,119620,120120,120587,121084,121669,122428,123211,123730,124221,124768,125218,125910,126583,127341,128119,128678,129534,130193,131116,132013,132953,133794,134639
Massachusetts,160,221,294,362,511,758,1015,1291,1675,1995,2275,2877,3589,4326,5247,6174,6815,7331,8544,9768,11065,12304,13738,14872,15828,17719,19631,21413,23310,25258,25743,26603,28525,31272,33707,28557,31375,32111,32463,34448,35873,37743,39352,40815,41511,41564,42952,44267,45558,46794,48074,48326,48261,49401,50368,51207,52106,52123,52399,52644,53822,55239,50713,51858,52851,53391,53665,54918,55927,56821,51693,51129,50046,48830,47478,46719,45696,44536,43186,43413,43502,43864,44267,12696,13073,13455,13824,14312,14541,14689,8342,8515,8823,9099,9315,9507,9558,5545,5694,5868,5996,6192,6288,6412,3878,3972,4088,4212,4502,4639,4734,3037,3165,3315,3515,3680,3791,3950,2887,3042,3197,3351,3538,3709,3870,3008,3164,3290,3509,3689,3936,4127,3255,3455,3735,3978,4193,4491,4690,3713,4087,4382,4763,5062,5420,5594,4631,4961,5118,5442,5756,6060,6272,5103,5329,5658,5859,6228,6543,6751,5202,5470,5736,6167,6280,6855,7217,5824,6174,6628,7060,7240,7533,7885,8151,8549,6889,7311,7668,7889,8052,6496,6879,7305,7843,8115,8360,8667,7057,7471,7916,8489,8833,9082,9244,7686,8152,8629,9180,9759,10178,10682,8892,9622,10373,11028,11669,12164,12651,10571,11007,11760,12389,12935,13682,14418,12453,13015,13752,14315,15031,15843,16814,17494,14549,15599,16793,17845,19040,20293,21438,18559,20117,21531,22640,16561
Michigan,3,17,27,49,59,71,129,362,596,849,1114,1426,1919,2441,3031,3867,4924,5809,6853,7987,9770,11267,13320,14862,16362,17852,19626,20999,22133,23306,24128,24729,25690,26999,27987,29114,29798,27753,28353,28898,29705,30636,31902,33253,28596,29177,29550,30524,31650,32589,33569,27014,27577,27700,28139,28763,29308,29994,23308,23696,24111,24525,24884,26100,26599,21455,22136,22949,23314,23984,24455,24862,20350,20686,20892,21107,21583,21983,22606,17901,18428,18548,18725,19037,19233,19585,16051,16477,16748,17014,17186,17423,17641,14859,15074,15104,15271,15372,15648,15941,12168,12331,12570,12798,13151,13566,13905,12427,12689,12963,13436,13792,14367,14861,13522,13882,14205,14808,15448,15951,16559,17216,17621,18036,17671,18716,19624,20371,19812,20340,20860,21515,22180,22874,23510,21720,22759,23266,24035,25050,25836,26622,24853,25282,25885,26682,27393,28128,28934,29649,26570,27144,28044,28514,29665,30522,27418,27889,28379,29016,29695,30206,30206,31611,32371,28443,29373,30210,31057,31844,29079,29627,30121,30902,31536,32300,33346,29707,29707,30915,31413,32298,33274,34673,30634,30634,31853,32524,33286,34254,35032,30902,30902,32465,33144,34030,35102,36134,37113,32278,33600,34697,35880,36859,37835,34626,34626,36066,37196,38402,39779,41095,42724,42724,39900,41336,42916,45340,47531,43702,45141,47221,49072,50915,53073,55099,53151,55091,57178,59820,63389,67451,70784,74768,72180,75517
Minnesota,9,14,21,35,54,62,78,91,115,113,144,210,173,198,210,260,302,360,432,483,384,436,479,401,455,486,486,483,517,547,570,709,738,707,782,798,894,974,1062,1125,1153,1225,1206,1370,1548,1556,1688,1968,2282,2621,3077,3436,3229,2594,2782,3089,3549,3857,3910,3811,3672,3657,3492,3627,4045,3989,4040,4735,4732,4657,4894,5458,5499,5580,5609,5529,5218,5315,5595,5290,5105,4707,4045,3604,3657,3957,4067,3697,3359,3074,2927,3166,3462,3238,3052,2749,2532,2535,2733,2929,2858,2845,2746,2645,2624,2828,3162,3180,3280,3166,3226,3287,3552,3774,3774,-989,3151,3242,3164,3442,3792,4022,4159,4031,3873,4005,4491,4872,4582,4622,4780,4358,4135,4596,5000,5055,5108,4989,4674,4682,5093,5534,5423,5446,5339,5076,4886,5359,5564,5644,5632,5451,4981,4724,4916,5325,5211,5204,5099,4726,4592,4912,5414,5362,5398,5422,5157,5020,5659,6177,6287,6408,6342,5995,5682,6059,6530,6470,6215,5910,5459,4892,4888,5010,4980,4879,4737,4419,4245,4850,5584,6299,6664,6747,6558,6556,7110,7887,8344,8422,8241,7995,7653,8118,8762,8817,8545,8247,7986,7881,8508,9423,9590,9903,9866,9746,9880,10307,12011,12046,12209,12184,11598,11099,11822,12817,13048,12915,12545,13015,13475,15460,17922,18599,18480,18957
Mississippi,1,6,6,10,12,21,36,50,79,140,206,248,319,372,480,571,650,744,831,917,1051,1151,1329,1420,1595,1687,1856,1936,2184,2387,2549,2685,2844,2976,3238,3495,3653,3822,4115,4343,4533,4701,4952,5225,5497,5684,5865,6103,6319,6554,3518,3737,3834,4154,4452,3629,3869,4260,4536,4650,4818,5030,3357,3735,4040,4345,4507,4636,4882,3716,3961,4347,4708,4946,3422,3678,3973,4278,4679,5105,5366,3810,4050,4337,4563,4763,5020,5250,3575,3906,4259,4259,4854,5103,5269,3581,3914,4380,4380,4756,4756,4756,4067,4667,5171,6258,6802,7254,7611,6120,6786,7430,8290,9193,10179,10401,7976,8889,9533,10220,11240,12022,12871,9498,10338,11345,12557,13565,14568,15351,12216,13820,15333,16302,17885,19302,20494,16385,17685,19170,20897,22013,23117,23779,17023,18055,19249,20184,21197,22381,22886,15901,16513,17549,18139,19051,19839,20216,13740,14502,15815,16682,17532,18454,19077,13450,14184,15030,15589,16174,16895,17528,17770,13173,13921,14662,15463,15991,16386,16627,10696,11084,11569,12407,12837,13079,8341,8818,9507,10184,10669,11307,11583,5419,5848,6376,7109,7811,8439,8613,4391,4944,5484,6170,6822,7419,7738,7113,8074,8613,9168,10024,10965,11254,7962,8661,9512,10822,11930,12670,12670,9746,10445,11225,12175,12963,14158,14386,11115,11949,12930,13892,14623,15441,15767,11678
Missouri,2,4,4,5,6,12,19,30,63,71,87,191,260,346,492,659,826,889,1016,1311,1561,1808,2080,2253,2306,2658,2898,3277,3379,3629,3726,3860,4204,4388,4552,4826,4917,5149,5316,5079,5174,5409,5594,5880,6051,6199,6392,6502,6691,6876,5742,6033,6139,6517,6590,6778,6971,7150,7254,7448,7113,7047,7153,7335,7346,7429,7646,7784,7929,7904,8018,8206,8234,8560,8715,8874,9061,9228,9359,9251,9506,9643,9855,10103,10315,10467,10667,10790,10897,11096,11241,11368,11609,11658,11834,12015,12260,12466,12439,13013,13414,13442,13851,14208,14552,14851,15314,15683,16076,16652,16724,17064,17147,17549,18006,18083,18083,18986,19553,20267,20832,21523,21857,22646,23087,23605,24381,25619,26309,27065,27487,28615,29663,30737,31985,32815,33705,34883,36250,37567,38828,40104,40805,40837,42324,43654,44756,45924,46897,47124,47782,49456,50280,51739,53221,54637,54583,55652,57392,58426,59247,60166,61415,62469,62469,63584,64439,65542,67002,68415,68370,69318,71272,72411,73594,75025,76331,77570,79083,79815,80656,81474,82737,84206,85428,86762,88195,89780,91039,92294,93696,95148,95715,96810,98521,99535,100702,102087,103130,103753,104110,105819,105433,106765,108223,110948,111971,111805,114027,114691,115588,116837,118870,118378,118808,118808,119721,121647,122693,124350,126126,126812,127579,127579,126770,127568,128979,130426,131023,132045,132346,133768,135643,137780,138342,139852
Montana,1,1,5,7,7,9,11,12,18,27,34,45,46,53,71,120,128,160,167,193,211,221,256,275,260,281,281,191,191,194,202,212,216,195,188,190,181,173,180,180,152,129,122,105,92,95,83,80,53,45,40,35,35,37,31,24,24,22,20,20,20,20,16,15,19,21,21,20,18,22,23,22,22,22,22,21,20,23,28,40,42,41,44,44,55,53,51,52,55,51,56,58,66,60,72,80,60,72,90,100,130,149,169,156,174,210,218,226,237,288,303,336,389,427,466,511,548,588,589,645,710,784,864,936,1034,1147,1226,1337,1359,1421,1248,1179,1228,1280,1178,1237,1217,1244,1320,1410,1519,1574,1564,1666,1516,1484,1544,1573,1565,1559,1602,1529,1485,1590,1389,1449,1454,1523,1548,1556,1515,1549,1329,1471,1523,1556,1636,1704,1807,1791,1869,1953,1987,1945,1998,2033,2084,1829,1904,1952,1992,2028,1806,1859,1968,2056,2127,1954,2104,2103,2225,2454,2335,2393,2600,2237,2443,2713,2987,3155,3400,3454,3635,3891,4100,4569,4851,5008,4983,5352,5824,6330,6547,7131,7432,7774,7917,7849,8148,8598,9139,9611,8999,9352,9096,9610,9412,9751,9855,10060,10122,10474,10450,11073,11721,12370
Nebraska,10,14,14,19,18,23,24,29,37,38,42,50,61,64,68,85,94,118,151,174,206,241,273,315,355,404,468,507,553,631,687,774,831,859,909,1020,1092,1237,1424,1593,1658,1749,2055,2349,2657,2951,3281,3297,3694,4189,4743,5228,5559,5982,6334,6663,7078,7717,8116,8195,8450,8567,8946,9281,9631,10075,9876,10151,10365,10635,10933,11166,11493,11635,11856,12117,12464,12748,13135,13143,13339,13575,13838,14085,7330,7233,7099,6990,6927,6872,6884,6884,6687,6538,6388,6280,6271,6231,6109,6035,5898,5790,5728,5737,5865,5772,5560,5455,5310,5310,5166,5227,5148,5176,5203,5004,5004,4992,5112,5133,4992,4989,5027,5086,5226,5364,5334,5395,5379,5170,5297,5491,5676,5757,5859,5982,6205,6062,6134,6296,6441,6711,6738,6799,6951,7082,7269,7305,7426,7426,7191,7235,7367,7425,7837,7623,7629,7528,7554,7659,7728,7683,7642,7526,7356,7338,7441,7652,7701,7762,7634,7685,7713,7812,8130,8299,8284,7928,7772,7650,8020,8321,8430,8591,8507,8496,8610,8735,9014,9225,9436,9846,10132,10427,10112,10433,10495,10456,10543,10769,11019,11368,11724,11872,12394,12511,12693,12926,13198,13594,14257,15174,15277,15417,15583,16066,16815,17240,18084,18157,18564,18950,19157,19827,20204,20911,21256,21271,21651,22123,23067,23997,25047,25833,25833,26239
Nevada,11,17,21,24,44,55,54,94,107,159,188,241,274,315,410,525,607,905,993,1095,1253,1420,1442,1666,1754,1871,1993,2211,2328,2434,2339,2474,1682,1789,1906,2010,2213,2306,2401,2503,1933,2068,2178,2360,2494,2555,1824,1933,1756,1850,2068,2149,2259,2320,2413,1180,1276,1386,1525,1595,1643,1793,1866,1963,1230,1274,1468,1509,1634,1754,1835,1975,2269,2337,2444,1750,1860,1946,2083,1858,1856,1951,1807,1806,1843,2015,1958,2039,2172,2213,2171,2396,2671,2455,2671,2750,2782,2960,2885,3292,3211,3404,3501,3960,4323,4309,4197,5044,5697,6283,6486,7114,6896,7878,7796,8311,8576,8741,8414,8193,8351,8480,8592,9014,9237,9156,9557,9747,10920,11608,11799,12297,13398,14305,15143,16064,17089,18072,19157,20006,21003,22238,23219,24350,25332,26297,26918,27637,28593,29450,30253,29998,30528,31041,31609,32693,33528,34222,34879,35526,35883,36401,37237,37861,38393,38799,39172,39405,39938,40554,41148,41595,41912,40564,39697,39193,38252,37254,36579,35656,34860,34208,33360,32368,31835,31226,30478,29708,28814,28313,27793,26872,26271,25377,24655,24206,23977,23808,23437,22921,22576,22260,22110,22030,22210,21641,21171,20814,20633,20408,20513,20727,20695,20438,20476,20544,20622,21034,21197,21542,21542,21679,22026,22193,22751,23229,23885,24384,24350,24731,25165,26091,27036,27762,28063,28378
New Hampshire,6,6,7,13,17,26,39,44,56,65,78,100,107,136,157,185,212,255,311,308,355,383,389,468,513,555,583,543,571,636,670,726,748,815,742,812,782,791,830,884,903,990,1069,1117,1177,1254,1080,1014,1008,1094,1249,1328,1325,1483,1439,1519,1564,1616,1652,1709,1796,1863,1913,1984,2051,2127,2156,2211,2264,2403,1969,1728,1684,1736,1553,1467,1372,1424,1452,1363,1458,1486,1422,1373,1416,1428,1417,1365,1401,1337,1292,1236,1093,1076,1011,984,971,1002,1015,940,935,930,929,912,893,911,925,949,968,958,948,938,939,884,884,832,826,790,749,755,704,620,636,621,598,594,608,582,571,554,565,546,552,568,575,568,589,407,403,392,407,396,403,397,395,360,378,382,365,350,349,326,316,305,309,323,293,278,279,260,262,255,258,258,250,255,237,219,221,230,243,222,228,231,224,240,209,250,248,238,236,242,272,316,297,307,291,288,259,272,306,318,308,288,293,266,281,304,303,330,339,331,305,342,456,500,492,490,500,507,531,585,692,685,738,787,823,829,894,937,971,1020,824,798,832,896,946,1032,1002,1067,1034,1106,1216,1338,1352,1407
New Jersey,28,49,68,96,175,262,418,726,871,1299,1876,2790,3596,4298,6728,8630,10874,13092,16272,18242,21677,24798,28950,32938,36122,39585,42650,45370,48729,51434,54712,58208,60232,64070,65905,69789,72587,75282,78993,82289,85460,88594,92349,94311,97360,100764,102786,105032,107089,108998,111202,113501,117042,118865,120863,121752,123841,125429,126618,127854,128880,127935,128465,129456,130662,131359,129645,131328,132050,132844,132564,132496,130708,129783,130841,130395,130135,131130,131451,131300,130845,130827,129830,130086,128960,127931,126676,125906,125745,125046,124471,123936,123613,122940,122164,121850,121801,122024,121392,121376,121254,121248,120543,120124,119353,118747,117719,117968,117193,115398,114972,113398,111111,109020,105678,103233,100695,98568,95557,92977,90524,87164,84513,82300,78845,75770,72918,69732,66623,60105,57358,54191,54559,52953,50271,48577,46375,44419,42618,39212,37127,35425,34464,32737,31184,30039,29471,26436,25637,24764,24151,22793,21393,19971,19321,19106,17862,18028,18035,17959,17930,17837,17863,17619,17748,17713,17653,17627,17552,17858,17577,17471,17524,17621,17707,17740,17706,17488,17545,17642,17689,17588,17722,18074,18432,18601,18719,18818,18921,19123,19285,19320,19067,18969,19241,19235,19409,19719,20221,20455,21001,20870,21133,21545,21977,22592,22725,23118,23349,23600,24405,24835,25186,25630,25748,26619,27459,28139,28782,29486,30313,31313,32188,33007,33673,34627,36098,36815,38068,39600,40854,42121,43895,44915,46223,47652
New Mexico,5,10,13,17,21,23,28,35,43,57,65,83,100,111,135,190,206,235,277,310,357,396,485,481,558,620,648,678,801,901,983,1048,1019,1076,1153,1258,1365,1280,1303,1426,1478,1592,1728,1823,1953,1977,2069,2159,2396,2528,2622,2833,2939,3115,3012,3049,3248,3367,3462,3538,3561,3559,3618,3685,3738,3849,3934,4087,4034,4049,4137,4174,4130,4162,4184,4241,4285,4345,4421,4438,4480,4550,4697,4752,4855,5079,5122,5237,5282,5002,5034,5141,5117,5118,5174,5245,5269,5262,5346,5284,5336,5412,5483,5488,5526,5660,5770,5877,6066,6193,6257,6262,6390,6463,6705,6883,7090,7222,7439,7600,7829,7959,8161,8380,8534,8788,8998,9237,9431,9636,9823,10059,10263,10511,10718,10913,11079,11424,11508,11687,11738,11819,11859,12019,12012,11997,12071,12154,12124,12172,12311,12326,12338,12377,12310,12275,12200,12213,12180,12054,12044,12072,12044,12101,12112,12054,11876,11784,11710,11596,11589,11600,11613,11600,11642,11738,11696,11788,11774,11733,11673,11527,11493,11469,11444,11531,11549,11459,11367,11257,11253,11323,11318,11314,11350,11461,11540,11602,11611,11673,11690,11717,11887,11853,12058,12196,12315,12408,12564,12710,12812,13004,13194,13392,13656,13835,14242,14579,15229,15561,15960,16366,16789,17433,17862,18553,19310,20059,20700,21126,21611,22521,23411,23902,24583,25310
New York,328,421,524,729,956,1692,3017,5332,8352,10316,15676,20610,25969,32492,36994,43611,49784,56044,61674,69294,75540,83081,91655,100732,106672,113792,122315,128888,138203,148280,155840,162941,168510,175200,179175,186205,192933,199483,205030,209278,207269,212321,218127,224936,235187,240498,229824,231343,234511,237654,240586,244278,246444,249085,251204,252938,255509,257708,260072,260052,261290,262011,263551,264726,266907,268118,269648,270143,270857,272030,273886,275111,276573,277422,278071,278719,279326,280379,281457,282160,282790,283378,283987,283673,284185,281592,282405,283099,283945,284479,284865,285300,285922,286582,286962,287500,287970,288358,289873,290836,291533,292322,292773,293391,294064,294592,295301,295312,295670,296178,296232,295984,292718,289550,284019,274852,268098,261819,252745,244159,236117,227392,217727,209034,200636,192652,185322,177417,170387,163129,157032,151976,146519,140708,135714,130821,125571,119892,112022,109271,106989,103360,99582,95536,92398,89419,87044,84492,82714,83542,80897,77703,75200,72726,71441,70726,70333,69079,67698,66790,66311,65863,65282,64897,64013,63090,62639,62340,62219,62192,62062,62036,61749,62052,62035,62204,62650,62737,62702,62041,62293,62107,62246,62587,62762,62591,62436,62428,62409,62870,63279,63564,63422,63034,62968,63064,63537,63882,64157,64242,64294,64706,64979,65757,66483,67221,67346,67459,67961,68564,69797,70577,71179,71374,71615,72309,72996,73774,74913,75902,76412,76695,77237,78786,79836,80760,82062,82852,83443,84659,86123,88105,89690,90887,92232,93234
